Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change,Next_Days_Change
FB,-0.000117848,13839.37879,913399,257.81,-0.011675265,258.643,261.37852,268.144735,-0.023590625,-0.031026038,-0.021748758,-0.013862314
FB,-0.000134597,14230.41791,953438,256.09,-0.013862314,257.98135,255.62282,260.533305,-0.019553158,-0.011225211,-0.018195486,0.016350043
FB,0.00020299,10682.13043,737067,244.77,0.016350043,246.44785,250.14944,254.140205,0.004712965,-0.009663024,-0.012039634,0.018064104
FB,0.000258187,19050.69697,1257346,250.22,0.018064104,250.46515,248.71408,250.778265,0.012598958,0.016532719,-0.003550288,-0.025669119
FB,-0.000455002,6067.863636,400479,255.56,-0.025669119,255.31165,253.78016,250.09462,-0.021520365,-0.008288118,0.006160129,0.001120928
FB,-6.26E-05,9876.955224,661756,248.901,0.001120928,248.38135,249.79224,251.722845,0.00349523,0.000892342,-0.000778376,0.022513845
FB,0.000306293,9376.409091,618843,249.18,0.022513845,248.702,249.43384,251.235385,0.023233629,0.013001684,-0.002584966,0.000311502
FB,4.64E-05,13688.04545,903411,256.82,0.000311502,257.164,254.8787,251.005375,-0.001889845,0.006104472,0.009014428,0.009102831
FB,7.77E-05,17666.74242,1166005,259.26,0.009102831,258.81205,257.43782,253.893565,0.010112358,0.010271995,0.013206223,-0.007245827
FB,-6.35E-05,8747.939394,577364,263.6,-0.007245827,262.5262,261.21398,258.13811,-0.001325582,0.007896974,0.009592481,0.00210463
FB,2.37E-05,28184.13636,1860153,266.08,0.00210463,265.9594,264.18194,261.618335,0.004675902,0.010271936,0.010118136,-0.016855631
FB,-0.000193766,5820.043478,401583,264.6,-0.016855631,262.732,264.7412,264.5205,-0.006766401,-0.012975691,-0.002228334,0.002652319
FB,1.53E-05,19940.72727,1316088,263.92,0.002652319,261.859,261.5682,263.90014,0.006272269,0.007173961,-0.002664076,-0.021995911
