Symbol,Five_Minute_Change,Average_Volume,Total_Volume,Days_Open,Days_Change,20MA_Open,50MA_Open,200MA_Open,20MA_Change,50MA_Change,200MA_Change
AAPL,-0.000214545,78443.24359,6118573,128.96,-0.016904467,128.80445,128.58308,128.131265,-0.016842974,-0.012114969,-0.000669899
AAPL,0.000320626,41255.77215,3259206,125.05,0.026069572,125.0362,125.8273,127.57639,0.015543898,0.005052958,-0.008438826
AAPL,6.24E-05,64397.42308,5022999,131.65,0.001671098,131.9159,131.16052,127.298255,0.000773978,0.00757606,0.018258459
AAPL,-0.0001497,32465.06329,2564740,132.15,-0.009458948,132.23695,132.06898,130.675645,-0.00467532,-0.002027728,0.010154455
AAPL,0.000132284,29055.80952,1220344,131.36,0.005176614,131.33595,131.65288,131.958435,0.004888608,0.003684993,0.000214272
AAPL,0.000263482,49242.32051,3840901,134.01,0.020296993,133.79565,132.92926,132.15325,0.022675251,0.026564054,0.012301362
AAPL,-0.00028255,59521.92405,4702232,138.06,-0.024409677,138.13975,137.649,134.951145,-0.020664219,-0.012922143,0.010849815
AAPL,-0.000183751,33180.39744,2588071,135.62,-0.01437841,135.64995,135.48126,136.50594,-0.013869522,-0.00946212,-0.006988853
AAPL,-0.000135127,38334.21795,2990069,134.04,-0.010892271,134.32735,134.08694,135.12872,-0.011094911,-0.011228088,-0.009526657
AAPL,-0.00038637,53480.03846,4171443,133.52,-0.030632115,133.73225,133.21202,133.610765,-0.034278942,-0.03312614,-0.013814306
AAPL,0.000142909,38410.29114,3034413,128.96,0.016904467,128.95435,129.06262,131.04574,0.016549655,0.012259785,-0.006130722
AAPL,-7.69E-05,82536.55128,6437851,127.72,-0.008847479,128.39395,129.59554,129.63479,-0.006649067,-0.005404044,-0.000422649
AAPL,0.000230763,45267.33333,3530852,128.37,0.019474955,128.3864,127.83758,129.138855,0.019486488,0.021373997,0.001075083
AAPL,-6.02E-05,38207.28205,2980168,132.4,-0.003172205,132.36405,131.79744,129.797055,-0.005647304,-0.001834178,0.008762564
AAPL,-3.30E-05,47762.28205,3725458,129.19,-0.001625513,130.0992,130.91152,131.11905,-0.008387446,-0.011967014,-0.003687145
AAPL,6.16E-06,38545.14103,3006521,128.43,0.003036674,129.11495,129.11646,130.25008,-0.004406926,-0.00695016,-0.008893085
AAPL,0.000185084,39344.34615,3068859,128.69,0.017328464,128.92635,128.75832,128.952615,0.015568191,0.01676381,0.003994335
AAPL,-0.000190303,57387.21519,4533590,130.75,-0.012390057,130.79815,130.85262,129.71316,-0.011583497,-0.0095107,0.004129882
AAPL,-0.000124819,136709.0513,10663306,128.83,-0.013739036,129.04135,129.19442,130.237365,-0.010623339,-0.007684697,-0.007438725
AAPL,7.25E-06,39074.01282,3047773,127.75,0.000704501,128.194,127.9944,128.973505,-0.002180289,-0.000989106,-0.006420699
AAPL,0.000330634,63240.51282,4932760,128.56,0.026757934,128.66785,128.24956,128.10852,0.027665808,0.029882988,0.010006438
AAPL,0.000302156,51854.77215,4096527,133.79,0.022572689,133.91095,133.16036,130.31506,0.021294748,0.024006994,0.024852922
AAPL,0.000227312,68352.88462,5331525,136.28,0.019592016,135.8931,136.39458,134.6918,0.022866503,0.014361421,0.015081653
AAPL,-3.09E-05,65624.73077,5118729,143.07,-0.001258125,142.98465,141.45832,138.019255,-0.003253496,0.00694466,0.017476909
AAPL,-0.000102292,39965.20253,3157251,143.54,0.003553017,143.4108,143.12366,141.67932,-0.002564312,-0.002708986,0.00777707
AAPL,-2.67E-05,67952.77215,5368269,143.41,-0.005648142,143.1232,143.80428,143.042285,-0.008375302,-0.008000457,-0.000561442
AAPL,-0.000255662,73677.67089,5820536,139.52,-0.020498853,139.432,140.04632,142.404955,-0.005762307,-0.002408489,-0.010975355
AAPL,-0.00036888,78585.43038,6208249,135.78,-0.027102666,136.04795,136.57854,139.484365,-0.028043421,-0.033745272,-0.023719074
AAPL,-1.98E-05,55049.89744,4293892,133.75,0.002691589,133.93265,133.1542,135.323305,0.00339947,0.010355963,-0.012883368
AAPL,-0.000104241,71849.53165,5676113,135.73,-0.005452,135.03355,134.74996,133.529155,-0.000720562,0.00172052,0.007104179
AAPL,-0.000197251,86112.05128,6716740,135.63,-0.01275529,135.23055,135.0883,134.701185,-0.006441222,-0.002806905,0.001628828
AAPL,9.76E-05,32414.55128,2528335,136.33,0.007775251,136.2996,135.42522,135.042805,0.003674992,0.007028824,0.002740872
AAPL,-6.84E-05,47026.97436,3668104,137.35,-0.004222788,137.72215,137.31142,135.81735,-0.009222191,-0.00450436,0.005158951
AAPL,8.41E-05,46670.03846,3640263,136.08,0.006246326,136.1745,136.34744,136.55492,0.000629707,-0.001324704,-0.000473143
AAPL,-4.76E-05,26574.73077,2072829,136.69,-0.005121077,136.47095,136.32588,136.376565,7.00E-05,0.001247159,0.000345294
AAPL,-0.000121576,73579.41772,5812774,136.47,-0.009306075,136.33365,136.44006,136.42991,-0.006342161,-0.008412192,-0.002095398
AAPL,-8.40E-05,64483.49367,5094196,135.873,-0.006204323,135.57455,135.43912,136.062555,-0.007322908,-0.007652294,-0.005840586
AAPL,9.45E-05,47978.19231,3742299,134.3,0.008339538,134.6119,134.51616,135.084975,0.000517042,-0.000648695,-0.003132695
AAPL,-0.000228898,49458.24359,3857743,135.49,-0.017196841,135.66565,134.98856,134.684825,-0.01740787,-0.012421497,-0.002954267
AAPL,-5.30E-05,50938.47436,3973201,131.27,-0.003123334,131.7512,132.469,133.859865,-0.008864815,-0.015532691,-0.012168285
